X,Y,class
3.422,-0.1701,2
3.196,0.6020,2
2.980,0.4551,2
-7.688,6.8134,0
2.804,-0.8996,2
2.327,1.7142,2
2.685,-0.2320,2
-7.902,7.2739,0
-8.315,6.1772,0
-5.272,-4.9132,1
-7.441,7.3839,0
-7.796,7.4488,0
2.436,0.2623,2
2.351,0.6552,2
-5.441,-5.2326,1
-7.288,6.7662,0
-7.998,4.9718,0
3.620,-0.9085,2
-5.123,-5.3042,1
2.720,0.2145,2
-8.566,6.2412,0
-4.809,-6.1920,1
-5.271,-5.2626,1
-8.925,7.1528,0
-8.055,6.4934,0
-3.882,-5.5677,1
-6.213,-4.4264,1
-7.075,5.7538,0
-8.389,5.6434,0
2.911,0.3516,2
-7.277,6.6488,0
-9.213,6.8611,0
2.772,-0.8491,2
-4.958,-6.1347,1
-5.390,-5.7104,1
-8.218,5.8811,0
2.965,0.0476,2
3.363,-0.3154,2
-7.567,7.0828,0
2.019,-0.2209,2
-5.803,-6.7345,1
3.256,-0.2206,2
-4.924,-5.3746,1
2.194,0.2307,2
3.473,0.1001,2
2.672,0.1511,2
-7.864,6.2534,0
-7.901,6.1377,0
-5.114,-4.4645,1
-7.798,6.7543,0
-5.549,-5.4655,1
-6.388,-5.7873,1
-8.409,6.1128,0
-5.337,-5.7798,1
2.633,-1.0556,2
-5.956,-5.8805,1
2.531,0.4653,2
-7.538,7.0853,0
2.464,0.5399,2
-7.180,6.2365,0
2.564,-0.3635,2
-8.238,7.4540,0
3.171,-0.2754,2
-6.957,-4.8250,1
3.015,0.8129,2
-8.100,7.4221,0
-6.169,-4.1331,1
3.704,0.9356,2
-7.416,6.2428,0
-5.122,-4.5473,1
3.427,-0.0030,2
-8.213,7.0559,0
-5.659,-5.5620,1
-5.773,-4.2129,1
-7.551,5.2850,0
-7.399,6.6498,0
3.592,0.7144,2
-8.323,5.7605,0
3.302,0.4489,2
-8.538,5.5736,0
-5.437,-5.3722,1
-5.263,-5.5174,1
-8.418,6.4551,0
3.133,0.8866,2
4.339,0.7846,2
-5.425,-5.9823,1
-8.944,5.0902,0
-8.413,6.3840,0
-7.060,6.9336,0
-7.628,6.0542,0
-6.844,-6.3899,1
-8.511,7.1883,0
-5.071,-4.8953,1
-4.749,-5.5544,1
2.752,-0.2238,2
-7.991,6.2710,0
-5.802,-4.9213,1
-8.215,6.5695,0
-8.191,7.4852,0
-5.863,-6.1656,1
-8.641,6.8862,0
-7.921,7.4594,0
4.859,0.0668,2
-5.535,-4.2024,1
-7.639,5.7029,0
-4.354,-6.3160,1
-8.586,6.2149,0
-6.146,6.8258,0
-5.668,-5.2089,1
3.437,-0.2748,2
3.345,0.9496,2
-4.624,-5.5371,1
2.678,-0.0768,2
-5.208,-5.1662,1
3.236,0.4374,2
2.556,0.1087,2
-8.179,7.1000,0
-8.308,6.5871,0
-6.142,-5.4121,1
2.709,0.4077,2
-8.714,6.5030,0
-5.625,-5.2475,1
-5.554,-6.7088,1
-5.187,-5.6543,1
-8.431,7.4012,0
-7.428,6.9380,0
-6.866,6.7395,0
3.587,0.3139,2
-6.659,6.4703,0
-7.527,6.7092,0
-7.482,5.9835,0
2.975,-0.6718,2
-8.595,7.7589,0
3.684,0.4802,2
-5.194,-6.1435,1
-5.569,-3.7624,1
-4.605,-5.1748,1
-4.298,-5.1642,1
-7.280,7.2519,0
-7.327,5.8334,0
-6.923,5.5292,0
3.942,0.1098,2
2.813,-0.0142,2
3.442,-0.7406,2
-6.127,-5.5715,1
-5.539,-5.4591,1
-4.897,-4.8605,1
-5.148,-4.8464,1
-5.668,-4.7847,1
2.928,0.5765,2
-7.303,6.2119,0
3.335,0.0563,2
-4.172,-5.5317,1
-5.446,-5.1577,1
-9.256,6.5845,0
-4.918,-4.6536,1
-7.004,7.0903,0
-5.408,-4.5525,1
-9.210,6.4522,0
-5.167,-5.4380,1
-8.437,7.1130,0
-4.971,-5.6944,1
3.148,0.4500,2
-7.988,7.2261,0
-9.411,5.5524,0
-4.842,-5.6143,1
-8.569,7.4035,0
-8.600,6.4784,0
2.548,0.6048,2
-8.070,6.7524,0
2.724,-0.0885,2
-5.762,-4.6660,1
-6.657,6.1830,0
3.157,0.5361,2
-7.811,6.9199,0
-5.466,-5.0519,1
-5.632,-5.4661,1
-5.422,-5.8932,1
3.508,0.1779,2
-7.568,7.1101,0
3.549,-0.9816,2
2.450,0.8046,2
-5.593,-5.7659,1
-4.924,-5.8998,1
-8.312,7.5653,0
-5.986,-5.7172,1
2.205,0.2240,2
-5.285,-4.5577,1
-7.046,6.2242,0
2.290,-0.0113,2
-5.539,-6.2533,1
-7.822,7.4174,0
-5.601,-5.2019,1
-7.428,7.1536,0
-5.255,-4.8393,1
-6.367,-5.2986,1
-5.126,-5.2217,1
-5.923,-5.5253,1
-7.714,6.8792,0
-8.406,7.1098,0
-6.704,-6.3699,1
2.531,0.1059,2
-6.078,-5.9010,1
-6.257,-4.9129,1
-4.569,-4.6899,1
3.872,-0.8657,2
-8.370,8.0714,0
2.006,0.3219,2
-5.668,-5.4685,1
3.016,1.7814,2
-8.668,6.9877,0
-7.905,5.7015,0
-6.058,-5.7667,1
-5.371,-5.3642,1
-5.260,-4.4909,1
-7.166,6.8926,0
-8.616,7.3093,0
-9.010,6.6230,0
-9.035,7.0882,0
4.128,-0.2192,2
2.770,0.0012,2
3.197,-0.1470,2
